data_key,urut_nasional,urut_provinsi,rerata,npsn,sekolah,provinsi,kota_kab,jenis
2035,35,3,"575,671",20327966,SMAN 1 SURAKARTA More..,Jawa Tengah,Kota Surakarta,SMA
2036,36,1,"575,538",60728785,MAN Insan Cendekia Gorontalo More..,Gorontalo,Kab. Bone Bolango,MA 
2037,37,4,"575,228",69895400,SMA BPK PENABUR HOLIS More..,Jawa Barat,Kota Bandung ,SMA
2038,38,7,"575,117",69787002,SMAK PENABUR KOTA TANGERANG More..,Banten,Kota Tangerang,SMA
2039,39,5,"574,94",20220342,SMAN 1 BOGOR More..,Jawa Barat,Kota Bogor,SMA
2040,40,4,"574,806",20533665,SMAN 3 More..,Jawa Timur,Kota Malang,SMA
2041,41,5,"574,582",20403171,SMAN 6 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2042,42,5,"574,527",20533654,SMAS K KOLESE ST YUSUP More..,Jawa Timur,Kota Malang,SMA
2043,43,15,"574,511",20101622,SMAN 2 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
2044,44,16,"573,89",20100199,SMAN 68 JAKARTA More..,DKI Jakarta,Kota Jakarta Pusat,SMA
2045,45,4,"573,763",69941723,MAN INSAN CENDEKIA PEKALONGAN More..,Jawa Tengah,Kab. Pekalongan,MA 
2046,46,17,"572,779",20101588,SMAN 78 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
2047,47,6,"572,747",20400405,SMA NEGERI 1 BANTUL More..,DI Yogyakarta,Kab. Bantul,SMA
2048,48,18,"572,583",20107383,SMAS KRISTEN IPEKA SUNTER More..,DKI Jakarta,Kota Jakarta Utara,SMA
2049,49,6,"572,43",20219327,SMAN 3 BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2050,50,19,"572,404",20101305,SMAS 4 KRISTEN PENABUR More..,DKI Jakarta,Kota Jakarta Barat,SMA
2051,51,7,"572,032",20403162,SMAN 9 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2052,52,6,"571,169",20532230,SMAN 2 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2053,53,7,"571,101",20219266,SMAS ST ANGELA More..,Jawa Barat,Kota Bandung,SMA
2054,54,20,"571,055",20103307,SMAN 61 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2055,55,21,"570,644",20103314,SMAN 48 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2056,56,2,"570,339",10210848,SMAS SUTOMO 1 More..,Sumatera Utara,Kota Medan,SMA
2057,57,8,"569,568",20253810,SMAS DON BOSCO III More..,Jawa Barat,Kab. Bekasi,SMA
2058,58,7,"569,392",20533660,SMAN 1 More..,Jawa Timur,Kota Malang,SMA
2059,59,1,"569,272",11002581,SMAS MAITREYAWIRA More..,Kepulauan Riau,Kota Batam,SMA
2060,60,22,"569,183",20107299,SMAS GONZAGA JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2061,61,8,"569,116",20580050,MAN 2 KOTA MALANG More..,Jawa Timur,Kota Malang,MA 
2062,62,9,"568,997",20523844,SMAN 1 JEMBER More..,Jawa Timur,Kab. Jember,SMA
2063,63,8,"568,948",20606507,SMAS UPH COLEGE More..,Banten,Kab. Tangerang,SMA
2064,64,8,"568,833",20403180,SMAN 5 YOGYAKARTA More..,DI Yogyakarta,Kota Yogyakarta,SMA
2065,65,23,"568,783",20100603,SMAS KRISTEN YUSUF More..,DKI Jakarta,Kota Jakarta Utara,SMA
2066,66,9,"568,477",20219728,SMAS BPK 2 PENABUR More..,Jawa Barat,Kota Bandung,SMA
2067,67,9,"568,445",20606853,SMAN 1 TANGERANG More..,Banten,Kota Tangerang,SMA
2068,68,24,"568,185",20104424,SMAS KRISTEN IPEKA TOMANG More..,DKI Jakarta,Kota Jakarta Barat,SMA
2069,69,10,"568,181",20501706,SMAN 1 SIDOARJO More..,Jawa Timur,Kab. Sidoarjo,SMA
2070,70,25,"568,055",20102218,SMAN 26 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2071,71,10,"567,88",20223020,SMAN 1 BEKASI More..,Jawa Barat,Kota Bekasi,SMA
2072,72,10,"567,455",20614920,SMA BINA NUSANTARA SERPONG More..,Banten,Kota Tangerang Selatan,SMA
2073,73,1,"567,442",10303611,SMAN 1 PADANG PANJANG More..,Sumatera Barat,Kota Padang Panjang,SMA
2074,74,1,"567,388",60724799,SMAS DARMA YUDHA More..,Riau,Kota Pekanbaru,SMA
2075,75,5,"567,344",20306202,SMAN 1 PURWOREJO More..,Jawa Tengah,Kab. Purworejo,SMA
2076,76,2,"567,324",10310903,SMAN 1 SUMATERA BARAT More..,Sumatera Barat,Kota Padang Panjang,SMA
2077,77,6,"567,303",20309676,SMAN 1 KLATEN More..,Jawa Tengah,Kab. Klaten,SMA
2078,78,26,"566,849",20107304,SMAS ISLAM AL-AZHAR 1 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2079,79,27,"566,385",20103228,SMAS KRISTEN 7 BPK PENABUR JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2080,80,11,"566,208",20223819,SMAN 1 KOTA DEPOK More..,Jawa Barat,Kota Depok,SMA
2081,81,7,"565,842",20305010,SMAN 1 KEBUMEN More..,Jawa Tengah,Kab. Kebumen,SMA
2082,82,11,"565,837",20500479,SMAN 1 GRESIK More..,Jawa Timur,Kab. Gresik,SMA
2083,83,12,"565,803",69873999,SMA KRISTEN PENABUR KOTA WISATA More..,Jawa Barat,Kab. Bogor,SMA
2084,84,13,"565,798",20219279,SMAS TRINITAS BANDUNG More..,Jawa Barat,Kota Bandung,SMA
2085,85,8,"565,676",20327563,SMAN 1 MAGELANG More..,Jawa Tengah,Kota Magelang,SMA
2086,86,12,"565,585",20532135,SMAS KRISTEN PETRA 1 More..,Jawa Timur,Kota Surabaya,SMA
2087,87,28,"565,317",20103284,SMAN 14 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2088,88,29,"565,228",20100799,SMAS SANTO YAKOBUS JAKARTA More..,DKI Jakarta,Kota Jakarta Utara,SMA
2089,89,30,"564,86",20101589,SMAN 65 JAKARTA More..,DKI Jakarta,Kota Jakarta Barat,SMA
2090,90,14,"564,821",20220343,SMAS REGINA PACIS More..,Jawa Barat,Kota Bogor,SMA
2091,91,31,"564,735",20102193,SMAN 47 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2092,92,9,"564,457",20402126,SMAN 1 WONOSARI More..,DI Yogyakarta,Kab. Gunung Kidul,SMA
2093,93,9,"564,32",20328867,SMA NEGERI 01 More..,Jawa Tengah,Kota Semarang,SMA
2094,94,10,"563,852",20328447,SMAN 1 SALATIGA More..,Jawa Tengah,Kota Salatiga,SMA
2095,95,15,"563,837",20252198,SMA TALENTA More..,Jawa Barat,Kab. Bandung,SMA
2096,96,13,"563,729",20532237,SMAN 15 SURABAYA More..,Jawa Timur,Kota Surabaya,SMA
2097,97,32,"563,109",20103283,SMAN 21 JAKARTA More..,DKI Jakarta,Kota Jakarta Timur,SMA
2098,98,33,"563,087",20102570,SMAN 70 JAKARTA More..,DKI Jakarta,Kota Jakarta Selatan,SMA
2099,99,11,"563,002",20613524,SMAS TARAKANITA GADING SERPONG More..,Banten,Kab. Tangerang,SMA
2100,100,11,"562,953",20321438,SMA NEGERI 1 TEMANGGUNG More..,Jawa Tengah,Kab. Temanggung,SMA
